GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Activiti :: Spring Security Policies,org.activiti.core.common.spring.security.policies.conf,SecurityPoliciesProperties,17,0,0,0,5,0,3,0,3,0
Activiti :: Spring Security Policies,org.activiti.core.common.spring.security.policies,SecurityPoliciesProcessDefinitionRestrictionApplier,3,21,0,0,1,3,1,3,1,3
Activiti :: Spring Security Policies,org.activiti.core.common.spring.security.policies,ProcessSecurityPoliciesManagerImpl,155,0,24,0,31,0,20,0,8,0
Activiti :: Spring Security Policies,org.activiti.core.common.spring.security.policies,SecurityPoliciesProcessInstanceRestrictionApplier,3,21,0,0,1,3,1,3,1,3
Activiti :: Spring Security Policies,org.activiti.core.common.spring.security.policies,BaseSecurityPoliciesManagerImpl,266,0,52,0,51,0,37,0,11,0
Activiti :: Spring Security Policies,org.activiti.core.common.spring.security.policies,ActivitiForbiddenException,9,0,0,0,4,0,2,0,2,0
Activiti :: Spring Security Policies,org.activiti.core.common.spring.security.policies,SecurityPolicy,45,0,0,0,19,0,13,0,13,0
Activiti :: Spring Security Policies,org.activiti.core.common.spring.security.policies,SecurityPolicyAccess,34,0,0,0,4,0,1,0,1,0
Activiti :: Spring Security Policies,org.activiti.core.common.spring.security.policies.config,ActivitiSpringSecurityPoliciesAutoConfiguration,19,0,0,0,4,0,4,0,4,0
